number,english,irish
0,abbey court,cúirt na mainistreach
1,abbey drive,céide na mainistreach
2,abbey park,páirc na mainistreach
3,abbey street lower,sráid na mainistreach
4,abbey street middle,sráid na mainistreach láir
5,abbey street upper,sráid na mainistreach
5,abbey street,sráid na mainistreach
6,abbeyfield gort,na mainistreach
7,abbotstown avenue,ascaill bhaile an aba
8,abbotstown drive,céide bhaile an aba
9,abbotstown road,bóthar bhaile an aba
10,abercorn road,bóthar obar chúirnidh
11,abercorn square,cearnóg obar chúirnidh
12,abercorn terrace,ardán obar chúirnidh
13,aberdeen street,sráid obar dheathain
14,achill road,bóthar acla
15,acres road,bóthar na nacraí
16,adair court,cúirt uí dháire
17,adair lane,lána uí dháire
18,adare avenue,ascaill áth dara
19,adare drive,céide áth dara
20,adare green,faiche áth dara
21,adare park,páirc áth dara
22,adare road,bóthar áth dara
23,addison road,bóthar addison
24,adelaide court,cúirt adelaide
25,adelaide mews,eachlann adelaide
26,adelaide road,bóthar adelaide
27,adelaide terrace,ardán adelaide
28,adrian avenue,ascaill adrian
29,aideen avenue,ascaill éadaoin
30,aideen drive,céide éadaoin
31,aideen place,plás éadaoin
32,aikenhead terrace,ardán aikenhead
33,ailesbury drive,céide ailesbury
34,ailesbury gardens,gairdíní ailesbury
35,ailesbury grove,garrán ailesbury
36,ailesbury mews,eachlann ailesbury
37,ailesbury park,páirc ailesbury
38,ailesbury road,bóthar ailesbury
39,airfield court,cúirt bhán an aeir
40,airfield park,páirc bhán an aéir
41,airfield road,bóthar bhán an aeir
42,aisling close,clós aislinge
43,albany road,bóthar alban
44,albert college avenue,ascaill choláiste ailbhe
45,albert college crescent,corrán choláiste ailbhe
46,albert college drive,céide choláiste ailbhe
47,albert college grove,garrán choláiste ailbhe
48,albert college lawn,plásóg choláiste ailbhe
49,albert college park,páirc choláiste ailbhe
50,albert court,east cúirt ailbhe thoir
51,albert place,east plás ailbhe thoir
52,albert place,west plás ailbhe thiar
53,albert terrace,ardán ailbhe
54,aldborough parade,paráid aldborough
55,aldrin walk,siúlán aldrin
56,alexander terrace,ardán alexander
57,alexandra road,bóthar alexandra
58,alexandra road,extension síneadh bhóthar alexandra
59,alexandra terrace,ardán alexandra
60,alfie byrne road,bóthar ailf uí bhroin
61,all saints drive,céide na naomh uile
62,all saints park,páirc na naomh uile
63,all saints road,bóthar na naomh
64,allingham street,sráid allingham
65,alma court,cúirt alma
66,alma terrace,ardán alma
67,almeida avenue,ascaill almeida
68,alone walk,siúlán alone
69,amiens street,sráid amiens
70,anglesea road,bóthar anglesea
71,anglesea row,rae anglesea
72,anglesea street,sráid anglesea
73,anna villa anna villa,
74,annadale avenue,ascaill annadale
75,annadale crescent,corrán annadale
76,annadale drive,céide annadale
77,annaly road,bóthar na hanaíle
78,annamoe drive,céide áth na mbó
79,annamoe park,páirc áth na mbó
80,annamoe road,bóthar áth na mbó
81,annamoe terrace,ardán áth na mbó
82,anne street,north sráid anna thuaidh
83,anne street,south sráid anna theas
84,anner road,bóthar na hannúire
85,anne’s lane,lána anna
86,annesley avenue,ascaill annesley
87,annesley bridge road,bóthar dhroichead
88,annesley park,páirc annesley
89,annesley place,plás annesley
90,apollo way,bealach apollo
91,appian way,bealach aipiach
92,arbour hill,cnoc an arbhair
93,arbour place,plás an arbhair
94,arbour terrace,ardán an arbhair
95,arbutus avenue,ascaill na caithne
96,arbutus place,plás na caithne
97,ard rö place,plás ard ró
98,ard rö road,bóthar ard ró
99,ardagh road,bóthar ardach
100,ardara avenue,ascaill ard an rátha
101,ardbeg crescent,corrán an aird bhig
102,ardbeg drive,céide an aird bhig
103,ardbeg park,páirc an aird bhig
104,ardbeg road,bóthar an aird bhig
105,ardcollum avenue,ascaill ard cholm
106,ardee grove,garrán bhaile átha fhirdhia
107,ardee road,bóthar bhaile átha fhirdhia
108,ardee row,rae bhaile átha fhirdhia
109,ardee street,sráid bhaile átha fhirdhia
110,ardilaun road,bóthar ardoileáin
111,ardilaun square,cearnóg ardoileáin
112,ardlea road,bóthar ard liath
113,ardmore avenue,ascaill an aird mhóir
114,ardmore close,clós an aird mhóir
115,ardmore crescent,corrán an aird mhóir
116,ardmore drive,céide an aird mhóir
117,ardmore grove,garrán an aird mhóir
118,ardmore park,páirc an aird mhóir
119,ardpatrick road,bóthar ard pádraig
120,argyle road,bóthar earra ghaidheal
121,arklow street,sráid an inbhir mhóir
122,armagh road,bóthar ard mhacha
123,armstrong street,sráid armstrong
124,armstrong walk,siúlán armstrong
125,arnott street,sráid arnott
126,arran quay,cé árann
127,arran quay terrace,ardán ché árann
128,arran road,bóthar árann
129,arran street,east sráid árann thoir
130,arran street,west sráid árann thiar
131,arranmore avenue,ascaill árainn mhór
132,arranmore road,bóthar árainn mhór
133,asdill’s row,rae asdill
134,ash grove,garrán na
135,ash street,sráid na
136,ashdale avenue,ascaill ghleanntán na
137,ashdale gardens,gairdíní ghleanntán na
138,ashdale park,páirc ghleanntán na
139,ashdale road,bóthar ghleanntán na
140,ashfield avenue,ascaill ghort na
141,ashfield park,páirc ghort na
142,ashfield road,bóthar ghort na
143,ashford cottages,iostáin áth na
144,ashford place,plás áth na
145,ashford street,sráid áth na
146,ashington avenue,ascaill ashington
147,ashington close,clós ashington
148,ashington court,cúirt ashington
149,ashington crescent,corrán ashington
150,ashington gardens,gairdíní ashington
151,ashington green,faiche ashington
152,ashington grove,garrán ashington
153,ashington heath,fraoch ashington
154,ashington mews,eachlann ashington
155,ashington park,páirc ashington
156,ashington rise,ard ashington
157,ashmount court,cúirt chnocán na
158,ashtown grove,garrán bhaile an ásaigh
159,ashtown road,bóthar bhaile an ásaigh
160,ashworth place,plás ashworth
161,aston place,plás aston
162,aston quay,cé aston
163,athlumney villas,bailtíní áth luimnigh
164,auburn avenue,ascaill achadh na gréine
165,auburn road,bóthar achadh na gréine
166,auburn street,sráid achadh na gréine
167,auburn villas,bailtíní achadh na gréine
168,aughavannagh road,bóthar achadh mheánach
169,aughrim lane,lána eachroma
170,aughrim place,plás eachroma
171,aughrim street,sráid eachroma
172,aungier street,sráid aungier
173,austin’s cottages,iostáin mhic aibhistín
